"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",0,0,0,0,1028,0,1842,0,188,0,0,0,0,4,0,0,4,0,0,4,0,0,17,101,0,2,2,0,0,0,0,0,0,4,512,276,0,0,0,0,0
"2006-05-06",0,0,0,0,1178,0,2087,0,287,0,0,0,0,0,0,0,4,0,0,0,0,3,23,108,0,0,0,0,0,0,0,2,0,12,737,404,0,0,0,0,0
"2006-10-28",0,0,0,0,1655,0,4193,0,603,0,0,0,0,0,0,0,13,0,0,3,0,0,44,60,8,0,0,0,0,0,0,4,0,41,2301,1001,0,0,0,0,2
"2007-02-04",2,0,0,0,6047,13,23423,0,1028,0,0,0,2,0,0,0,0,0,3,6,0,0,79,572,29,0,0,0,0,0,0,233,2,224,9434,4293,0,0,0,0,6
"2007-05-06",0,0,0,0,1091,0,1855,0,77,0,2,0,0,0,0,0,4,0,0,2,0,0,111,35,0,0,2,0,3,0,0,12,0,2,487,322,0,0,0,0,0
"2007-10-28",19,0,0,0,4034,11,26549,0,5127,0,36,0,5,7,0,0,39,0,0,643,2,2,282,556,47,0,15,0,0,0,0,36,3,340,7744,15752,98,0,0,0,20
"2008-02-04",48,0,4,0,3616,4,20005,10,1540,0,13,0,6,15,0,0,79,16,10,47,0,0,181,285,9,0,27,0,0,0,3,511,10,321,3362,9485,19,2,0,0,20
"2008-05-06",0,0,0,0,368,0,37513,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,43,0,131,70470,7540,0,0,0,0,0
"2008-08-19",0,0,17,0,27925,3,17226,2,3363,0,0,0,19,95,3,0,29,15,4,3,0,2,170,291,29,0,18,0,0,0,0,42,10,400,5625,4047,4,0,0,0,0
"2008-10-28",3,0,188,0,7873,10,15287,2,1248,0,3,0,18,5,2,0,4,2,0,39,2,0,287,654,46,0,0,0,0,4,0,400,0,591,7723,3034,0,0,0,0,0
"2009-02-04",11,0,260,0,3779,15,31364,4,3908,0,18,0,6,0,0,0,38,12,0,481,12,0,233,1087,65,0,21,3,6,0,0,6,3,794,7549,10127,0,0,0,0,2
"2009-05-06",168,0,181,0,12903,0,19543,0,1696,0,15,0,21,101,0,0,0,6,14,2,0,0,144,745,6,0,11,0,5,0,0,250,28,653,7655,4238,0,0,0,0,11
"2009-08-19",12,0,0,0,8684,18,35896,0,2710,0,0,0,160,17,0,0,26,5,10,578,7,0,222,1057,56,0,30,0,0,2,0,85,10,582,8434,9410,2,0,0,0,4
"2009-10-28",38,0,0,0,23306,4,21082,0,1455,0,0,0,3,2,0,0,0,9,6,37,0,0,71,552,16,0,12,0,0,0,0,260,5,648,6907,3872,2,0,0,0,0
"2010-02-04",0,0,0,0,4479,6,7239,0,1045,0,8,0,14,33,0,0,15,4,0,14,0,0,88,169,19,0,4,0,3,2,0,12,0,252,4853,2153,0,0,0,0,0
"2010-05-06",13,0,0,0,4446,4,25834,0,2283,0,12,0,4,0,0,0,123,3,4,222,25,0,166,501,32,0,4,2,10,5,2,8,4,257,4227,8368,5,2,0,0,4
"2010-08-19",0,0,0,0,3407,4,9307,0,540,0,4,0,0,2,0,0,0,0,0,6,0,0,11,223,10,0,3,0,0,0,0,18,3,106,3773,1404,0,0,0,0,4
"2010-10-28",0,0,25,0,5371,4,8737,0,1514,0,18,0,0,0,3,0,2,5,0,23,0,0,51,252,13,0,9,0,0,0,0,50,0,116,5082,4219,0,0,0,0,0
"2011-02-04",21,0,2,0,3050,0,12089,7,1108,0,13,0,0,10,0,0,67,2,0,102,0,0,93,150,7,0,13,0,0,0,0,140,2,180,2966,4064,9,0,0,0,9
"2011-05-06",0,0,0,0,2382,0,2037,0,132,0,0,0,4,0,0,0,0,0,0,10,2,0,22,98,2,0,0,0,0,0,0,9,0,12,1029,164,0,0,0,0,0
"2011-08-19",37,0,0,0,2117,4,20383,3,1426,0,3,0,0,4,0,0,21,17,2,40,32,2,64,356,14,0,15,0,66,0,11,149,4,416,3100,6077,8,0,0,4,8
