"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",0,0,0,0,2358,1,6252,0,359,0,4,0,9,0,0,0,0,0,0,65,0,0,139,220,12,0,5,0,0,0,0,19,0,110,2102,838,3,0,0,0,0
"2007-02-04",6,0,5,0,2281,2,7148,0,839,0,0,0,4,0,0,0,0,6,0,11,3,0,40,201,12,0,4,0,7,0,0,94,0,152,2042,1138,2,0,0,0,0
"2007-08-19",9,0,0,0,7263,2,26251,0,1539,0,36,0,3,27,0,0,4,5,4,53,1,0,375,503,20,0,21,0,4,0,0,469,3,548,9527,4592,6,0,0,0,8
"2008-05-06",4,0,0,0,32132,4,39551,0,8418,0,76,2,40,99,0,0,14,27,8,68,9,0,878,618,44,0,20,0,0,0,0,186,6,1064,13296,10207,2,0,0,0,9
"2008-08-19",46,0,0,0,6854,18,26859,0,2046,0,29,0,4,2,0,0,29,0,0,54,3,0,258,384,29,0,43,0,6,3,2,94,2,301,7568,5039,0,0,0,0,3
"2008-10-28",6,0,0,0,4636,0,30862,5,2921,0,2,0,87,359,0,0,7,5,24,14,0,0,184,175,2,0,31,0,11,2,0,18,9,761,6163,6323,0,0,0,0,0
"2009-02-04",0,0,0,0,1918,0,4524,0,440,0,2,0,4,4,0,0,2,2,0,8,4,0,25,52,4,0,0,0,0,0,0,24,0,30,1312,468,2,0,0,0,2
"2009-05-06",2,0,0,0,1428,0,7244,0,564,0,112,0,4,0,0,0,2,0,0,87,8,0,83,95,10,0,2,4,25,0,0,21,0,40,1854,676,58,0,0,0,2
"2009-10-28",0,0,0,0,1378,0,3663,0,176,0,2,0,0,0,0,0,0,2,0,11,0,0,35,103,10,0,0,0,0,0,0,18,2,30,1465,996,0,0,0,0,0
"2010-02-04",36,0,0,0,4888,14,26874,2,2194,0,57,0,4,0,0,0,13,0,0,146,10,0,206,474,30,0,67,0,4,2,0,85,3,353,6974,6046,8,0,0,0,6
"2010-05-06",6,0,0,0,5764,2,11836,0,1714,0,13,0,4,0,0,0,0,12,0,208,4,0,242,229,13,0,2,0,0,0,0,74,0,117,3133,1435,28,0,0,0,4
"2010-08-19",4,3,0,0,5082,11,34475,0,1808,0,12,0,3,6,0,0,4,42,0,163,5,0,381,1085,42,0,0,0,3,0,0,95,2,701,11775,5294,0,0,0,0,4
"2010-10-28",5,0,0,0,5241,10,15681,0,1192,0,43,0,44,11,0,3,0,0,0,12,7,0,68,185,15,0,9,3,2,0,0,285,2,323,5421,2850,2,0,0,0,4
"2011-02-04",11,0,0,0,4450,3,28130,0,1486,0,33,0,20,25,0,0,0,2,0,48,14,0,123,894,15,0,15,0,13,0,0,216,14,926,10651,4685,4,0,0,0,14
"2011-08-19",15,0,0,0,7516,3,17409,0,1727,0,17,0,13,4,0,0,14,0,0,77,26,0,200,351,24,0,11,0,0,0,0,56,0,237,4246,6304,30,0,0,0,9
"2011-10-28",29,0,205,0,5836,0,28613,2,4327,0,179,2,56,0,4,0,146,178,0,25,4,0,91,672,10,0,90,2,13,0,9,339,0,397,7815,12129,8,4,0,0,4
"2012-02-04",8,479,0,2,20265,0,19622,0,3133,0,0,0,0,291,0,0,45,2,0,36,0,0,738,181,1,0,0,0,0,0,0,2,1003,237,11172,13643,0,0,0,0,39
"2012-05-06",22,0,202,0,18072,11,29010,2,2633,0,18,0,24,26,0,0,13,41,7,71,19,0,137,1204,33,0,4,0,20,38,0,681,20,1863,10309,5591,0,0,0,0,32
"2012-08-19",30,0,0,0,3873,6,26861,0,1961,0,56,0,13,27,15,11,32,4,4,25,45,0,618,654,24,0,61,0,9,3,0,20,13,733,6137,10496,4,0,0,0,4
"2012-10-28",0,0,0,0,1513,0,3589,0,256,0,13,0,3,0,0,0,0,0,0,22,0,0,44,81,10,0,10,0,0,0,0,14,0,50,1213,545,4,0,0,0,0
"2013-02-04",0,0,0,0,3369,2,8279,0,492,0,3,0,3,0,0,0,0,0,0,28,0,0,137,186,18,0,0,0,0,0,0,2,0,76,2452,738,2,0,0,0,2
"2013-05-06",0,0,0,0,18905,2,19395,0,1274,0,5,0,45,221,0,0,0,12,0,118,6,0,120,501,13,0,14,0,0,0,0,70,0,647,13249,2536,0,0,0,0,5
"2013-08-19",31,0,128,0,18962,16,19080,2,1711,0,8,0,23,37,0,0,17,0,2,33,2,0,176,644,27,0,4,0,2,0,0,609,4,678,10231,4752,0,0,0,0,21
"2013-10-28",0,0,0,0,1818,0,3906,0,393,0,4,0,3,0,0,0,3,0,0,8,0,0,17,70,0,0,0,0,0,0,0,23,0,63,1524,1169,0,0,0,0,0
