"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",92,0,69,0,9297,16,35182,0,4322,0,9,0,6,18,2,0,29,7,6,59,1,0,281,907,54,0,21,0,0,0,2,472,6,536,14150,9028,0,0,0,0,16
"2006-05-06",0,0,0,0,5522,5,6796,0,635,0,7,0,0,0,0,0,7,0,0,3,3,0,23,228,10,0,7,0,3,0,0,174,0,157,3755,2660,0,0,0,0,0
"2006-08-19",8,0,0,0,6890,18,26502,0,3569,0,13,0,60,40,0,0,20,4,6,22,7,0,149,685,56,0,16,0,4,0,0,125,4,797,9141,4880,0,2,0,0,6
"2006-10-28",5,0,0,0,6106,6,27543,0,2056,0,17,0,54,22,0,0,2,10,0,21,12,0,128,704,28,0,10,5,13,0,0,169,4,600,9270,5765,0,0,0,0,9
"2007-02-04",0,0,0,0,3262,0,6101,0,406,0,13,0,19,6,0,0,0,0,0,0,0,0,26,59,3,0,0,0,0,0,0,46,0,16,1190,769,0,0,0,0,0
"2007-05-06",0,47,0,0,9491,0,2030,0,1026,0,0,0,0,0,0,0,2,0,0,8,0,0,51,45,0,0,0,0,0,0,0,8,41,117,7512,1793,0,0,0,0,2
"2007-08-19",2,0,2,0,5280,10,16791,0,1566,0,18,0,38,52,0,0,8,6,7,7,15,0,94,385,10,0,15,2,5,3,0,97,0,573,5172,3329,0,0,0,0,4
"2007-10-28",44,17,28,0,3049,9,38604,2,4140,0,30,0,35,20,2,0,70,11,5,105,74,0,146,1493,60,0,127,5,34,6,2,16,10,1213,9807,9867,3,0,0,0,10
"2008-02-04",0,0,0,0,2508,2,2191,0,251,0,9,0,0,0,0,0,5,0,0,23,0,0,23,41,7,0,0,0,0,0,0,6,0,8,755,349,15,0,0,0,0
"2008-05-06",0,0,0,0,1358,4,3057,0,155,0,2,0,0,0,0,0,0,0,0,6,0,0,47,101,3,0,0,0,0,0,0,66,0,36,1161,786,0,0,0,0,2
"2008-08-19",21,0,0,0,7372,7,36034,0,3910,0,174,0,0,0,0,0,19,7,0,41,28,0,322,805,59,0,15,0,2,0,0,377,0,901,8148,7421,10,0,0,0,4
"2008-10-28",10,0,0,0,5309,13,16017,0,1656,0,33,0,0,2,0,0,9,2,0,65,21,0,127,321,17,0,14,6,6,0,2,34,4,268,4120,5304,45,0,0,0,0
"2009-02-04",10,0,12,0,5401,6,29565,0,5411,0,6,0,14,7,5,0,186,9,9,182,5,7,127,497,18,0,43,3,8,0,0,23,7,440,6721,13280,13,7,0,0,19
