"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",28,0,0,0,6774,14,22872,0,1299,0,159,3,26,10,0,0,0,5,2,64,7,0,235,538,19,0,11,11,24,0,0,539,11,520,8208,4585,0,0,0,0,10
"2006-05-06",0,0,0,0,11014,30,32170,0,1115,0,0,0,7,11,0,0,0,0,0,86,0,0,106,1154,26,0,3,0,0,0,0,32,0,837,17114,3384,0,0,0,0,11
"2006-10-28",0,0,0,0,368,0,1463,0,76,0,0,0,9,2,0,0,4,0,0,14,0,0,2,30,4,0,0,0,5,0,0,3,0,2,435,188,4,0,0,0,0
"2007-02-04",0,0,0,0,1648,2,3267,0,399,0,9,0,0,0,0,0,0,0,0,52,0,0,60,58,8,0,0,0,0,0,0,0,0,13,984,659,20,0,0,0,0
"2007-05-06",7,0,0,0,9055,10,30858,0,2497,0,42,0,6,0,0,0,7,3,0,63,41,0,164,670,33,0,22,0,8,0,0,542,10,827,8669,9206,11,0,6,0,10
"2007-08-19",0,0,0,0,1116,0,3040,0,238,0,0,0,0,0,0,0,0,0,0,27,0,0,31,77,0,3,0,0,0,0,0,0,4,15,813,673,0,0,0,0,0
"2007-10-28",4,0,57,0,8897,5,28164,0,5022,0,3,0,6,52,5,0,72,35,7,155,5,0,164,734,40,0,37,0,0,0,0,179,17,555,10925,10908,3,0,0,0,12
"2008-02-04",12,0,6,0,2044,2,6456,0,698,0,0,0,3,2,0,0,8,13,3,12,3,0,29,159,8,0,8,0,8,0,0,22,0,167,1744,1482,0,0,0,0,0
"2008-05-06",6,0,0,0,2371,2,7889,0,492,0,4,0,3,0,2,0,3,0,0,10,21,0,173,243,8,0,5,0,2,0,0,9,4,194,1833,1300,9,0,0,0,0
"2008-08-19",0,0,0,0,2007,3,4621,0,855,0,3,0,0,2,0,0,0,0,0,41,0,0,39,96,15,0,2,0,0,0,0,0,0,57,2440,2177,0,0,0,0,0
"2008-10-28",0,0,0,0,9101,1,11741,0,791,0,8,0,6,23,0,0,0,0,0,7,2,0,34,123,7,0,4,0,6,0,0,60,0,113,2761,1382,0,0,0,0,3
"2009-02-04",11,0,0,0,8754,7,17470,0,1001,0,11,0,0,3,0,0,4,0,0,38,3,0,131,283,16,0,28,0,0,0,0,159,0,160,4826,2170,2,0,0,0,4
"2009-05-06",24,0,40,0,10441,13,34705,0,7152,0,45,0,7,4,1,0,94,23,0,395,8,4,394,683,39,0,29,0,14,0,0,85,3,654,12924,14671,97,2,0,0,23
"2009-08-19",0,0,0,0,1191,0,2007,0,92,0,11,0,0,0,0,0,3,0,0,2,2,0,105,25,2,0,0,0,0,0,0,2,0,6,425,391,4,0,0,0,0
"2009-10-28",2,0,0,0,2412,0,5504,0,334,0,0,0,0,2,2,0,3,18,2,0,0,0,36,248,8,0,0,0,0,0,0,76,0,70,1901,797,0,0,0,0,0
"2010-02-04",2,0,27,3,19107,6,27697,0,5067,0,2,0,2,7,4,0,44,7,0,61,0,0,194,773,47,0,24,0,0,2,0,327,5,768,15241,11308,3,0,0,0,11
"2010-05-06",0,0,0,0,3391,4,5394,0,504,0,0,0,0,2,0,0,15,2,0,52,0,0,20,139,4,0,6,0,0,0,0,0,0,39,1821,1609,0,0,0,0,3
"2010-08-19",7,0,0,0,9483,14,21340,0,1942,0,42,0,4,5,0,0,11,0,0,56,32,0,203,481,21,0,13,4,0,0,0,60,7,259,5102,4201,6,0,0,0,8
"2010-10-28",12,0,0,0,15761,7,27509,0,1804,0,3,0,8,153,0,0,20,4,0,10,4,0,127,641,33,0,30,0,0,0,0,438,22,547,14804,5447,3,0,0,0,9
"2011-02-04",3,0,0,0,34127,3,21283,3,1248,0,14,0,12,24,0,0,0,9,12,7,36,0,19,471,9,0,34,0,5,0,0,123,4,543,4565,3038,0,0,0,0,4
"2011-08-19",2,0,0,0,8374,14,28040,0,2120,0,24,0,10,115,0,0,0,2,0,19,0,0,207,926,49,0,43,3,6,0,0,88,0,517,9598,4871,5,0,0,0,6
"2012-02-04",15,0,10,0,3779,1,20840,0,1644,0,12,0,10,27,3,0,21,4,0,35,82,0,314,443,21,0,118,0,0,8,0,60,3,537,5526,4817,2,0,0,0,0
"2012-05-06",8,0,86,0,11422,8,38784,2,8304,0,57,0,28,26,0,0,18,15,2,47,11,0,300,953,68,0,17,0,14,0,0,868,9,851,11286,9439,9,0,0,0,0
